@relation tweet
@attribute 'id' real
@attribute 'twitter_id' real
@attribute 'username' string
@attribute 'data_end' string
@attribute 'data_start' string
@attribute 'friend_count_end' real
@attribute 'friend_count_start' real
@attribute 'folowers_end' real
@attribute 'folowers_start' real
@attribute 'statuses_end' real
@attribute 'statuses_start' real
@data
41,24929621,'ParisHilton','2013-06-01 20:00:28','2013-06-11 14:32:58',5084,5060,11012645,10944560,15212,15111
19,25365536,'KimKardashian','2013-06-01 20:00:14','2013-06-11 14:32:43',129,127,17895422,17862820,15836,15724
70,25521487,'danieltosh','2013-06-01 20:00:48','2013-06-11 14:33:17',91,91,8302562,8271879,7794,7792
99,2557521,'espn','2013-06-01 20:01:07','2013-06-11 14:33:37',366,363,6615681,6578179,48405,48161
54,259379883,'charliesheen','2013-06-01 20:00:37','2013-06-11 14:33:07',124,122,507,52,1590,1583
12,26565946,'jtimberlake','2013-06-01 20:00:09','2013-06-11 14:32:39',49,36,21350647,20984011,1547,1529
34,268414482,'MileyCyrus','2013-06-01 20:00:24','2013-06-11 14:32:54',267,260,12111159,12028921,4355,4143
39,27195114,'Drake','2013-06-01 20:00:27','2013-06-11 14:32:57',590,587,11191356,11148623,1358,1349
3,27260086,'justinbieber','2013-06-01 20:00:03','2013-06-11 14:32:33',122644,122702,40279923,39889059,22413,22292
102,285332860,'WayneRooney','2013-06-01 20:01:09','2013-06-11 14:33:39',162,162,6476728,6420364,1316,1313
22,28706024,'Pink','2013-06-01 20:00:16','2013-06-11 14:32:45',236,235,16576059,16332309,4496,4477
97,29840295,'JessicaSimpson','2013-06-01 20:01:05','2013-06-11 14:33:36',181,181,6587322,6572182,1161,1157
95,30040682,'Anahi','2013-06-01 20:01:04','2013-06-11 14:33:35',451,448,6702390,6682737,5455,5452
43,3004231,'SnoopDogg','2013-06-01 20:00:30','2013-06-11 14:33:00',2429,2422,10775028,10770429,14771,14667
74,31239408,'Beyonce','2013-06-01 20:00:50','2013-06-11 14:33:21',8,8,8681012,8353956,5,4
40,31927467,'Pitbull','2013-06-01 20:00:28','2013-06-11 14:32:58',2256,2242,11663875,11425014,4220,4133
71,32959253,'KhloeKardashian','2013-06-01 20:00:48','2013-06-11 14:33:18',263,261,8161275,8150608,39377,39087
29,35094637,'aliciakeys','2013-06-01 20:00:20','2013-06-11 14:32:50',382,376,14083572,13865056,3903,3866
83,35765232,'programapanico','2013-06-01 20:00:56','2013-06-11 14:33:27',7033,7000,7411418,7398524,45395,45304
20,35787166,'NICKIMINAJ','2013-06-01 20:00:14','2013-06-11 14:32:44',2697,2672,16592625,16569228,22106,21877
101,36008570,'JessieJ','2013-06-01 20:01:08','2013-06-11 14:33:39',823,820,6490725,6467676,13567,13501
64,40255499,'ricky_martin','2013-06-01 20:00:44','2013-06-11 14:33:14',240,239,8887971,8837499,4284,4265
80,40908929,'Usher','2013-06-01 20:00:54','2013-06-11 14:33:25',288,287,7770840,7713531,2578,2545
90,413487212,'SimonCowell','2013-06-01 20:01:01','2013-06-11 14:33:31',1459,1370,7241790,7109651,704,675
79,42420346,'agnezmo','2013-06-01 20:00:54','2013-06-11 14:33:24',469,467,7808277,7729925,11600,11571
35,428333,'cnnbrk','2013-06-01 20:00:24','2013-06-11 14:32:54',80,80,12020015,11943307,24710,24549
92,43023158,'LucianoHuck','2013-06-01 20:01:02','2013-06-11 14:33:33',352,352,6844566,6815103,7568,7551
56,43152482,'AlejandroSanz','2013-06-01 20:00:38','2013-06-11 14:33:08',579,579,9497116,9422457,23777,23739
11,44409004,'shakira','2013-06-01 20:00:08','2013-06-11 14:32:38',85,85,20874027,20813173,1924,1901
77,47288005,'juanes','2013-06-01 20:00:52','2013-06-11 14:33:23',2383,2383,7884949,7839359,5861,5793
89,48332360,'ClaudiaLeitte','2013-06-01 20:01:00','2013-06-11 14:33:31',584,584,7051426,7021346,16637,16528
88,49573859,'iamwill','2013-06-01 20:00:59','2013-06-11 14:33:30',677,664,7714957,7394642,3807,3743
96,50374439,'tomhanks','2013-06-01 20:01:05','2013-06-11 14:33:35',24,24,6637880,6602882,482,481
38,50393960,'BillGates','2013-06-01 20:00:26','2013-06-11 14:32:56',154,154,11648567,11544475,918,897
45,52551600,'JimCarrey','2013-06-01 20:00:31','2013-06-11 14:33:01',1,1,10771887,10722448,3755,3755
55,53153263,'tyrabanks','2013-06-01 20:00:37','2013-06-11 14:33:08',2007,2000,9624576,9529455,3590,3567
75,5520952,'paulocoelho','2013-06-01 20:00:51','2013-06-11 14:33:21',94,95,8010104,7943847,21333,21142
23,60865434,'KAKA','2013-06-01 20:00:16','2013-06-11 14:32:46',417,417,15693131,15598354,2802,2795
47,73992972,'AvrilLavigne','2013-06-01 20:00:32','2013-06-11 14:33:02',38,37,10901122,10673824,1286,1273
65,759251,'CNN','2013-06-01 20:00:44','2013-06-11 14:33:14',762,761,9002788,8893907,32772,32612
15,783214,'twitter','2013-06-01 20:00:11','2013-06-11 14:32:41',124,121,19845607,19498552,1598,1593
2,79242532,'bueno_julio','2013-06-01 20:00:02','2013-06-11 14:32:32',71,71,73,73,2320,2319
7,79293791,'rihanna','2013-06-01 20:00:06','2013-06-11 14:32:36',953,949,29957990,29842920,7928,7859
66,807095,'nytimes','2013-06-01 20:00:45','2013-06-11 14:33:15',770,767,8571658,8501210,107415,106730
6,813286,'BarackObama','2013-06-01 20:00:05','2013-06-11 14:32:35',661822,662130,32575058,32206797,9246,9182
44,84279963,'Louis_Tomlinson','2013-06-01 20:00:30','2013-06-11 14:33:00',3136,3139,10968988,10812839,4831,4823
33,85426644,'twitter_es','2013-06-01 20:00:23','2013-06-11 14:32:53',32,32,12346426,12276555,655,654
100,85452649,'edsheeran','2013-06-01 20:01:08','2013-06-11 14:33:38',516,512,6639023,6551066,26986,26961
18,85603854,'JLo','2013-06-01 20:00:13','2013-06-11 14:32:43',327,325,19365661,18957665,2158,2064
60,96951800,'FCBarcelona','2013-06-01 20:00:41','2013-06-11 14:33:11',47,47,9176105,9099242,18211,18086
